,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
359,makakilo city,1,US,1608819324,88,21.35,-158.09,71.6,3.36
360,san quintin,24,ML,1608819593,11,13.3,-4.9,94.24,7.0
361,keffi,0,NG,1608819593,32,8.85,7.87,95.0,4.7
362,soe,100,ID,1608819593,100,-9.86,124.28,67.98,2.04
363,port lincoln,5,CD,1608819575,67,-7.03,29.76,79.34,3.33
364,kudligi,0,IN,1608819593,46,14.9,76.38,74.57,10.18
365,gat,64,IL,1608819483,23,31.61,34.76,64.0,7.11
366,monaco-ville,0,FR,1608819412,63,43.73,7.42,60.8,21.92
367,honavar,45,IN,1608819593,73,14.28,74.45,77.32,3.53
368,gidam,33,IN,1608819423,41,18.98,81.4,65.01,0.96
369,lutayan,99,PH,1608819593,84,6.62,124.88,76.75,1.74
370,bagua grande,39,PE,1608819593,53,-5.64,-78.53,82.51,1.83
371,katobu,100,ID,1608819593,90,-4.94,122.53,76.71,3.8
372,cangzhou,0,CN,1608819361,71,38.32,116.87,28.83,5.41
373,zhangye,0,CN,1608819593,69,38.93,100.45,20.73,4.88
374,linguere,100,SN,1608819593,11,15.4,-15.12,91.51,4.9
375,champerico,40,GT,1608819593,83,14.3,-91.92,73.4,5.08
376,labuhan,44,ID,1608819594,75,-6.88,112.21,81.27,2.08
377,lagos,72,NG,1608819537,57,6.58,3.75,89.38,6.42
378,saint-michel-des-saints,100,CA,1608819594,89,46.68,-73.92,30.99,13.13
379,sambava,3,MG,1608819594,71,-14.27,50.17,82.53,16.93
380,zhanaozen,100,KZ,1608819594,95,43.3,52.8,23.16,14.67
381,kerugoya,1,KE,1608819594,79,-0.5,37.28,70.09,6.24
382,gamba,99,GA,1608819594,85,-2.65,10.0,79.5,10.16
383,vaitape,32,PF,1608819594,75,-16.52,-151.75,81.48,13.89
